Epoch,CTR
  0,0.05
  1,0.04
  2,0.04
  3,0.30
  4,0.22
  5,0.14
  6,0.23
  7,0.03
  8,0.37
  9,0.37
 10,0.38
 11,0.30
 12,0.30
 13,0.33
 14,0.29
 15,0.28
 16,0.27
 17,0.31
 18,0.20
 19,0.24
 20,0.21
 21,0.10
 22,0.15
 23,0.24
 24,0.23
 25,0.12
 26,0.13
 27,0.15
 28,0.12
 29,0.18
 30,0.26
 31,0.24
 32,0.06
 33,0.09
 34,0.21
 35,0.15
 36,0.20
 37,0.18
 38,0.19
 39,0.23
 40,0.18
 41,0.13
 42,0.09
 43,0.15
 44,0.14
 45,0.14
 46,0.18
 47,0.20
 48,0.21
 49,0.17
 50,0.17
 51,0.16
 52,0.14
 53,0.08
 54,0.15
 55,0.13
 56,0.11
 57,0.10
 58,0.10
 59,0.12
 60,0.13
 61,0.05
 62,0.07
 63,0.17
 64,0.08
 65,0.12
 66,0.05
 67,0.04
 68,0.07
 69,0.09
 70,0.12
 71,0.06
 72,0.13
 73,0.14
 74,0.11
 75,0.11
 76,0.07
 77,0.09
 78,0.10
 79,0.10
 80,0.13
 81,0.06
 82,0.06
 83,0.09
 84,0.05
 85,0.08
 86,0.06
 87,0.05
 88,0.11
 89,0.05
 90,0.05
 91,0.05
 92,0.05
 93,0.07
 94,0.04
 95,0.09
 96,0.08
 97,0.04
 98,0.09
 99,0.10
100,0.11
101,0.06
102,0.10
103,0.08
104,0.03
105,0.06
106,0.05
107,0.02
108,0.05
109,0.09
110,0.05
111,0.02
112,0.09
113,0.08
114,0.10
115,0.05
116,0.04
117,0.08
118,0.06
119,0.03
120,0.04
121,0.14
122,0.13
123,0.05
124,0.14
125,0.05
126,0.05
127,0.05
128,0.05
129,0.04
130,0.05
131,0.03
132,0.06
133,0.07
134,0.09
135,0.05
136,0.04
137,0.04
138,0.02
139,0.03
140,0.08
141,0.09
142,0.01
143,0.03
144,0.03
145,0.06
146,0.04
147,0.10
148,0.04
149,0.08
150,0.04
151,0.05
