Epoch,CTR
  0,0.12
  1,0.14
  2,0.32
  3,0.18
  4,0.32
  5,0.39
  6,0.25
  7,0.40
  8,0.53
  9,0.26
 10,0.34
 11,0.53
 12,0.22
 13,0.24
 14,0.46
 15,0.09
 16,0.54
 17,0.62
 18,0.29
 19,0.55
 20,0.23
 21,0.14
 22,0.38
 23,0.37
 24,0.48
 25,0.54
 26,0.53
 27,0.43
 28,0.43
 29,0.42
 30,0.43
 31,0.51
 32,0.37
 33,0.46
 34,0.62
 35,0.39
 36,0.49
 37,0.55
 38,0.47
 39,0.37
 40,0.36
 41,0.45
 42,0.36
 43,0.38
 44,0.53
 45,0.49
 46,0.46
 47,0.44
 48,0.38
 49,0.44
 50,0.49
 51,0.32
 52,0.53
 53,0.35
 54,0.50
 55,0.51
 56,0.59
 57,0.48
 58,0.39
 59,0.45
 60,0.52
 61,0.37
 62,0.25
 63,0.43
 64,0.50
 65,0.38
 66,0.49
 67,0.46
 68,0.49
 69,0.44
 70,0.42
 71,0.43
 72,0.39
 73,0.39
 74,0.44
 75,0.39
 76,0.43
 77,0.52
 78,0.54
 79,0.45
 80,0.50
 81,0.38
 82,0.31
 83,0.41
 84,0.47
 85,0.25
 86,0.32
 87,0.35
 88,0.30
 89,0.41
 90,0.40
 91,0.48
 92,0.41
 93,0.34
 94,0.32
 95,0.42
 96,0.41
 97,0.44
 98,0.50
 99,0.39
100,0.24
101,0.51
102,0.40
103,0.45
104,0.45
105,0.46
106,0.38
107,0.48
108,0.49
109,0.31
110,0.46
111,0.47
112,0.41
113,0.42
114,0.49
115,0.19
116,0.39
117,0.34
118,0.35
119,0.45
120,0.52
121,0.37
122,0.60
123,0.38
124,0.42
125,0.50
126,0.44
127,0.46
128,0.37
129,0.45
130,0.47
131,0.37
132,0.33
133,0.46
134,0.46
135,0.22
136,0.35
137,0.29
138,0.38
139,0.29
140,0.27
141,0.22
142,0.45
143,0.38
144,0.37
145,0.42
146,0.37
147,0.32
148,0.17
149,0.40
150,0.45
151,0.40
152,0.35
153,0.38
154,0.33
155,0.29
156,0.27
157,0.24
158,0.27
159,0.39
160,0.45
161,0.18
162,0.32
163,0.19
164,0.27
165,0.37
166,0.56
167,0.33
168,0.51
169,0.33
170,0.42
171,0.39
172,0.30
173,0.30
174,0.33
175,0.33
176,0.43
177,0.28
178,0.27
179,0.43
180,0.31
181,0.32
182,0.25
183,0.43
184,0.30
185,0.44
186,0.42
187,0.35
188,0.24
189,0.36
190,0.43
191,0.33
192,0.43
193,0.22
194,0.43
195,0.36
196,0.30
197,0.25
198,0.40
199,0.33
200,0.31
201,0.25
202,0.42
203,0.24
204,0.46
205,0.30
206,0.45
207,0.38
208,0.31
209,0.38
210,0.40
211,0.31
212,0.32
213,0.32
214,0.40
215,0.27
216,0.29
217,0.22
218,0.33
219,0.32
220,0.42
221,0.31
222,0.32
223,0.28
224,0.38
225,0.31
226,0.36
227,0.33
228,0.20
229,0.43
230,0.54
231,0.38
232,0.36
233,0.28
234,0.35
235,0.35
236,0.30
237,0.22
238,0.17
239,0.32
240,0.35
241,0.42
242,0.18
243,0.18
244,0.32
245,0.13
246,0.25
247,0.33
248,0.30
249,0.26
250,0.34
251,0.27
252,0.41
253,0.44
254,0.32
255,0.33
256,0.39
257,0.19
258,0.44
259,0.39
260,0.31
261,0.34
262,0.30
263,0.28
264,0.34
265,0.24
266,0.32
267,0.27
268,0.44
269,0.40
270,0.19
271,0.34
272,0.25
273,0.29
274,0.38
275,0.42
276,0.36
277,0.39
278,0.28
279,0.21
280,0.32
281,0.33
282,0.32
283,0.28
284,0.29
285,0.24
286,0.23
287,0.28
288,0.26
289,0.18
290,0.29
291,0.28
292,0.22
293,0.43
294,0.32
295,0.27
296,0.39
297,0.21
298,0.26
299,0.39
300,0.24
301,0.32
302,0.29
303,0.30
304,0.18
305,0.27
306,0.29
307,0.30
308,0.33
309,0.26
310,0.34
311,0.31
312,0.25
313,0.28
314,0.39
315,0.32
316,0.23
317,0.37
318,0.27
319,0.32
320,0.35
321,0.16
322,0.18
323,0.39
324,0.19
325,0.26
326,0.32
327,0.20
328,0.19
329,0.33
330,0.32
331,0.31
332,0.34
333,0.41
334,0.26
335,0.26
336,0.30
337,0.27
338,0.32
339,0.30
340,0.35
341,0.36
342,0.32
343,0.27
344,0.24
345,0.19
346,0.34
347,0.28
348,0.30
349,0.25
350,0.35
351,0.45
352,0.25
353,0.30
354,0.43
355,0.30
356,0.33
357,0.33
358,0.36
359,0.30
360,0.24
361,0.31
362,0.29
363,0.27
364,0.24
365,0.33
366,0.25
367,0.28
368,0.24
369,0.27
370,0.33
371,0.35
372,0.22
373,0.17
374,0.23
375,0.22
376,0.29
377,0.43
378,0.31
379,0.34
380,0.24
381,0.20
382,0.21
383,0.30
384,0.16
385,0.24
386,0.26
387,0.28
388,0.25
389,0.23
390,0.30
391,0.34
392,0.33
393,0.22
394,0.42
395,0.20
396,0.25
397,0.21
398,0.35
399,0.34
400,0.33
401,0.30
402,0.10
403,0.19
404,0.36
405,0.33
406,0.30
407,0.27
408,0.37
409,0.25
410,0.31
411,0.32
412,0.26
413,0.24
414,0.22
415,0.39
416,0.19
417,0.28
418,0.16
419,0.21
420,0.26
421,0.33
422,0.20
423,0.19
424,0.23
425,0.28
426,0.27
427,0.17
428,0.25
429,0.19
430,0.27
431,0.22
432,0.40
433,0.29
434,0.29
435,0.22
436,0.15
437,0.38
438,0.27
439,0.27
440,0.24
441,0.20
442,0.19
443,0.31
444,0.40
445,0.35
446,0.16
447,0.36
448,0.19
449,0.28
450,0.38
451,0.30
452,0.23
453,0.29
454,0.20
455,0.32
456,0.19
457,0.21
458,0.20
459,0.31
460,0.25
461,0.21
462,0.28
463,0.22
464,0.31
465,0.22
466,0.25
467,0.33
468,0.18
469,0.35
470,0.23
471,0.26
472,0.29
473,0.22
474,0.27
475,0.18
476,0.20
477,0.25
478,0.28
479,0.20
480,0.14
481,0.29
482,0.27
483,0.29
484,0.24
485,0.26
486,0.24
487,0.18
488,0.32
489,0.30
490,0.25
491,0.28
492,0.21
493,0.29
494,0.23
495,0.34
496,0.25
497,0.28
498,0.24
499,0.21
500,0.16
501,0.28
502,0.29
503,0.26
504,0.21
505,0.26
506,0.35
507,0.18
508,0.18
509,0.46
510,0.27
511,0.29
512,0.31
513,0.27
514,0.42
